Category,Level,Question,Answer,Explanation
페이트 시리즈,normal,세이버의 진명은 알토리아 펜드래건이다.,O,세이버는 전설적인 아서 왕인 알토리아 펜드래건을 정체로 합니다.
페이트 시리즈,normal,에미야 시로의 주력 마술은 투영 마술이다.,O,에미야 시로는 무기를 복제하는 투영 마술을 주로 사용합니다.
페이트 시리즈,normal,성배전쟁은 총 7명의 마스터와 7명의 서번트가 참여하는 것이 원칙이다.,O,통상적인 성배전쟁은 7팀이 참여하여 최후의 승자를 가립니다.
페이트 시리즈,normal,토오사카 린은 5차 성배전쟁에서 라이더의 마스터이다.,X,"토오사카 린은 아처의 마스터이며, 라이더의 마스터는 마토 사쿠라(또는 신지)입니다."
페이트 시리즈,normal,길가메쉬는 아처 클래스로 소환된 영령이다.,O,4차와 5차 성배전쟁 모두 길가메쉬는 아처로 소환되었습니다.
페이트 시리즈,normal,토오사카 린이 사용하는 보석 마술은 마력을 보석에 저장해 사용하는 방식이다.,O,보석 마술은 일회성이지만 강력한 마력을 담은 보석을 소모하여 발동합니다.
페이트 시리즈,normal,란슬롯은 Fate/Zero에서 버서커 클래스로 등장한다.,O,Fate/Zero의 버서커는 광기에 빠진 호수의 기사 란슬롯입니다.
페이트 시리즈,normal,이스칸다르는 정복왕 알렉산더 대왕의 영령이다.,O,라이더로 소환된 이스칸다르는 역사 속 알렉산더 대왕입니다.
페이트 시리즈,normal,후유키 시의 성배전쟁은 100년에 한 번씩 열리는 것이 규칙이다.,X,대성배의 마력 충전 주기에 따라 약 60년 주기로 열립니다.
페이트 시리즈,normal,에미야 키리츠구는 '마술사 킬러'라는 별명을 가지고 있다.,O,키리츠구는 효율적인 마술사 제거를 위해 현대 병기를 사용하는 암살자였습니다.
페이트 시리즈,normal,Unlimited Blade Works는 에미야 시로의 고유결계 이름이다.,O,무한의 검제(Unlimited Blade Works)는 시로와 아처의 심상풍경이 구현된 마술입니다.
페이트 시리즈,hard,마토 사쿠라는 사실 토오사카 가문에서 마토 가문으로 입양된 하녀이다.,X,사쿠라는 토오사카 린의 친동생이며 마력 계승을 위해 마토 가의 양녀로 보내졌습니다.
페이트 시리즈,normal,Heaven's Feel 루트의 진정한 흑막은 마토 조켄이다.,O,마토 조켄은 영생을 위해 성배전쟁의 모든 비극을 뒤에서 조종한 인물입니다.
페이트 시리즈,hard,5차 성배전쟁의 어새신인 사사키 코지로의 진명은 진짜 사사키 코지로이다.,X,그는 가공의 인물인 사사키 코지로의 전설에 부합하는 익명의 검사일 뿐입니다.
페이트 시리즈,normal,라이더(메두사)는 자신의 눈을 가리고 있을 때만 마안을 사용할 수 있다.,X,눈을 가리는 것은 마안의 힘을 억제하기 위함이며 가리개를 벗으면 석화의 마안이 발동합니다.
페이트 시리즈,hard,아처(5차)의 정체는 미래에서 수호자가 된 에미야 시로이다.,O,아처는 자신의 이상을 위해 영령이 된 미래의 시로 본인입니다.
페이트 시리즈,normal,세이버 얼터는 성배의 진흙에 오염된 세이버의 모습이다.,O,Heaven's Feel 루트에서 흑화한 세이버는 압도적인 파괴력을 가진 폭군으로 변합니다.
페이트 시리즈,hard,이리야스필 폰 아인츠베른은 호문쿨루스이면서 인간의 자궁에서 태어난 존재이다.,O,이리야는 아인츠베른의 기술로 만들어진 호문쿨루스지만 아이리스필의 태내에서 잉태되었습니다.
페이트 시리즈,normal,타이가는 에미야 가의 식객이자 시로가 다니는 학교의 영어 선생님이다.,O,후지무라 타이가는 평소 덜렁대지만 검도 유단자이며 시로의 보호자 역할을 합니다.
페이트 시리즈,hard,고유결계는 마술사의 심상을 현실에 덮어씌우는 마술의 극치이다.,O,고유결계(Reality Marble)는 세계의 법칙을 자신의 내면 세계로 일시적으로 교체하는 금언에 가까운 마술입니다.
페이트 시리즈,normal,Fate/Zero는 4차 성배전쟁를 다룬 프리퀄 작품이다.,O,Fate/stay night의 10년 전 이야기를 다루는 전사(前史)입니다.
페이트 시리즈,normal,세이버의 마스터였던 에미야 키리츠구는 마술 회로를 파괴하는 기원을 가졌다.,O,절단과 결합의 속성을 가진 그의 탄환은 마술사의 마술 회로를 망가뜨립니다.
페이트 시리즈,hard,4차 성배전쟁의 캐스터인 질 드 레는 잔 다르크를 찾기 위해 소환되었다.,O,그는 광기에 빠진 채 세이버(알토리아)를 자신이 숭배하던 잔 다르크로 착각합니다.
페이트 시리즈,normal,코토미네 키레이는 4차 성배전쟁 시작 당시 이미 세례영창을 익힌 대행자였다.,O,성당교회 소속의 대행자로서 뛰어난 전투 능력과 신앙심을 가진 인물이었습니다.
페이트 시리즈,hard,웨이버 벨벳은 4차 성배전쟁 이후 런던 시계탑의 로드 엘멜로이 2세가 된다.,O,라이더와의 인연을 통해 성장한 그는 몰락하던 엘멜로이 교실을 부흥시킵니다.
페이트 시리즈,normal,케이네스 엘멜로이 아치볼트는 월령수액(볼륨 하이드라르기룸)이라는 마술 예장을 사용한다.,O,수은을 자유자재로 다루어 방어와 공격을 동시에 수행하는 강력한 예장입니다.
페이트 시리즈,hard,4차 성배전쟁은 성배가 오염되어 파괴되는 것으로 결말을 맺는다.,O,키리츠구의 명령에 의해 성배가 파괴되면서 후유키 시에 대화재가 발생합니다.
페이트 시리즈,normal,하산 사바흐는 어새신 클래스의 어원이 된 암살교단의 수장 이름이다.,O,페이트 세계관에서 정규 어새신은 역대 하산 사바흐 중 한 명으로 소환됩니다.
페이트 시리즈,hard,디어뮈드 오 디나는 창병(랜서)으로 소환되었으며 두 자루의 마창을 사용한다.,O,게이 저그(파마의 홍장미)와 게이 보(필멸의 황장미)를 주 무기로 사용합니다.
페이트 시리즈,normal,마토 카리야는 사쿠라를 구하기 위해 각충을 몸에 심었다.,O,카리야는 마토 가문의 마술사가 되기 위해 수명을 깎는 고통을 견디며 각충을 받아들였습니다.
페이트 시리즈,normal,헤라클레스는 버서커 클래스로 소환되어 12번 부활할 수 있는 보구를 가졌다.,O,"보구 '갓 핸드'는 그에게 11번의 생명을 더해주며 총 12번의 죽음을 견디게 합니다."
페이트 시리즈,hard,메데이아(캐스터)는 자신의 원래 마스터를 직접 살해하고 쿠즈키 소이치로를 새로운 마스터로 삼았다.,O,원래 마스터의 잔혹함과 비효율성에 분노한 그녀는 그를 살해하고 도주하던 중 쿠즈키를 만났습니다.
페이트 시리즈,normal,금피카라는 별명은 길가메쉬의 황금 갑옷에서 유래했다.,O,팬들 사이에서 길가메쉬의 화려한 황금 장신구와 갑옷 때문에 붙여진 애칭입니다.
페이트 시리즈,hard,쿠 훌린(5차 랜서)은 원래 아일랜드의 빛의 신 루의 아들이다.,O,얼스터의 영웅 쿠 훌린은 신성이 매우 높은 반신반인의 영령입니다.
페이트 시리즈,normal,메두사는 그리스 신화의 고르곤 세 자매 중 막내이다.,O,스테노와 에우리알레라는 두 언니를 둔 가장 유일하게 불사성이 없던 막내였습니다.
페이트 시리즈,hard,단절된 승리를 의미하는 보구 게이 보는 심장을 꿰뚫는 저주를 가졌다.,O,결과(심장을 꿰뚫음)를 만든 후 원인(창을 던짐)을 만드는 인과역전의 저주입니다.
페이트 시리즈,normal,서번트의 클래스 중 기본 7클래스에는 어벤저가 포함된다.,X,기본 7클래스는 세이버 랜서 아처 라이더 캐스터 어새신 버서커입니다. 어벤저는 엑스트라 클래스입니다.
페이트 시리즈,hard,만각의 왕 이명은 길가메쉬가 모든 신비를 소유하고 있음을 의미한다.,O,그는 세상의 모든 보물과 보구의 원형을 자신의 보물창고에 보관하고 있습니다.
페이트 시리즈,normal,페이트 시리즈에서 서번트는 마력이 없어도 현상 유지에 문제가 없다.,X,서번트는 마스터로부터 마력을 공급받아야 현세에 존재할 수 있습니다.
페이트 시리즈,hard,영령 에미야(아처)는 생전에 세계와 계약하여 사후의 자신을 팔아넘겼다.,O,그는 혼란을 막기 위한 수호자로서 영령이 되는 대가로 힘을 얻었습니다.
페이트 시리즈,normal,세이버의 보구 '엑스칼리버'는 약속된 승리의 검이라는 뜻이다.,O,엑스칼리버는 성검이며 알토리아의 가장 대표적인 대성(對城) 보구입니다.
페이트 시리즈,hard,길가메쉬의 보구 '에누마 엘리쉬'는 공간을 절단하는 괴리검 에아(Ea)의 출력 형태이다.,O,에아는 신화 시대를 개벽한 검으로 최대 출력인 에누마 엘리쉬는 대계(對界) 보구로 분류됩니다.
페이트 시리즈,normal,아발론(Avalon)은 세이버의 잃어버린 칼집이며 절대적인 방어력을 제공한다.,O,모든 간섭을 차단하는 요정향의 수호이며 소유자에게 불로장생의 치유력을 줍니다.
페이트 시리즈,hard,헤라클레스의 보구 '나인 라이브즈'는 원래 9개의 머리를 가진 히드라를 상대하기 위해 고안된 기술이다.,O,쏜살같이 9번의 공격을 쏟아붓는 유파 명칭이자 기술 형태의 보구입니다.
페이트 시리즈,normal,잔 다르크(룰러)의 보구인 '뤼미노지테 에테르넬'은 깃발 형태의 보구이다.,O,잔 다르크가 사용하는 이 보구는 신성한 깃발을 흔들어 아군을 수호하는 힘을 발휘합니다.
페이트 시리즈,hard,벨레로폰은 메두사가 사용하는 기사 보구로 천마(페가수스)를 소환하여 돌격한다.,O,천마뿐만 아니라 모든 탈것의 능력을 폭발적으로 끌어올리는 황금 고삐 형태의 보구입니다.
페이트 시리즈,normal,라이더(이스칸다르)의 아이오니온 헤타이로이는 고유결계 내에 자신의 생전 군대를 소환하는 보구이다.,O,왕의 군세라 불리며 군사 하나하나가 영령으로서의 자격을 가진 강력한 보구입니다.
페이트 시리즈,hard,쿠 훌린의 게이 볼그는 원래 스카사하에게 전수받은 무기이다.,O,마경 그림자의 나라의 여왕 스카사하가 제자인 쿠 훌린에게 물려준 마창입니다.
페이트 시리즈,normal,아처(에미야)의 로 아이아스는 트로이 전쟁의 영웅 아이아스가 사용했던 7겹의 소가죽 방패이다.,O,투척 무기에 대해 절대적인 방어력을 가진 꽃 모양의 7중 방어막 예장입니다.
페이트 시리즈,hard,브라만스트라는 카르나가 사용하는 대군 보구로 반드시 명중하는 특징이 있다.,O,인도의 서사시 마하바라타의 영웅 카르나가 사용하는 태양의 불꽃을 담은 보구입니다.
페이트 시리즈,normal,Fate/Grand Order(FGO)의 주인공은 칼데아라는 기속 조직의 마스터 후보생이다.,O,인류 멸망을 막기 위해 설립된 인리계속보장기관 피니스 칼데아 소속의 마스터입니다.
페이트 시리즈,normal,FGO의 메인 히로인 마슈 키리에라이트는 데미 서번트이다.,O,마슈는 인간의 몸에 영령의 힘을 깃들게 한 존재인 데미 서번트입니다.
페이트 시리즈,hard,마슈와 융합한 영령의 정체는 원탁의 기사 중 한 명인 갤러해드이다.,O,성배 탐색에 성공한 고결한 기사 갤러해드의 힘이 마슈에게 계승되었습니다.
페이트 시리즈,normal,FGO의 첫 번째 특이점의 배경은 백년전쟁 당시의 프랑스이다.,O,제1특이점 사룡백년전쟁 오를레앙은 잔 다르크가 활약하던 시대를 다룹니다.
페이트 시리즈,hard,솔로몬은 7개의 특이점을 만들어 인류를 멸망시키려 한 인리소각의 주범이다.,O,마술왕 솔로몬의 이름을 빌린 마신왕 게티아가 인리소각 계획을 실행했습니다.
페이트 시리즈,normal,FGO에서 서번트를 소환할 때 사용되는 자원은 성정석이다.,O,성정석은 마스터가 영령을 소환하거나 마력을 보충할 때 사용하는 귀중한 광석입니다.
페이트 시리즈,hard,제7특이점 절대마수전선 바빌로니아의 배경 시대는 기원전 2600년경의 메소포타미아이다.,O,현왕 길가메쉬가 통치하던 신대(神代)의 마지막 시대를 무대로 합니다.
페이트 시리즈,normal,레오나르도 다 빈치는 칼데아에서 기술 고문이자 서번트로 존재한다.,O,다 빈치는 3차 성배전쟁에서 소환된 적이 있는 영령으로 칼데아의 중추적인 역할을 맡고 있습니다.
페이트 시리즈,hard,종국특이점에서 마스터를 돕기 위해 나타난 서번트들은 과거 특이점에서 인연을 맺었던 영령들이다.,O,인리소각을 막기 위해 마스터와 인연을 맺었던 수많은 영령이 좌(座)에서 집결하였습니다.
페이트 시리즈,normal,FGO 2부의 부제는 Cosmos in the Lostbelt이다.,O,인리소각 이후 새롭게 나타난 이문대(Lostbelt)를 배제하고 올바른 역사를 되찾는 여정을 다룹니다.
페이트 시리즈,normal,Fate/Apocrypha는 7대 7 서번트 팀 배틀인 성배대전을 다룬다.,O,적의 진영과 흑의 진영으로 나뉘어 각 7명씩 총 14명의 서번트가 격돌하는 이야기입니다.
페이트 시리즈,hard,Fate/Apocrypha에서 룰러로 소환된 잔 다르크는 영체 상태로 현계했다.,X,그녀는 레티시아라는 소녀의 몸에 빙의하여 육체를 가진 채로 성배대전에 참여했습니다.
페이트 시리즈,normal,아스톨포는 이성 증발이라는 특성을 가진 라이더 클래스의 서번트이다.,O,샤를마뉴 12기사 중 한 명인 아스톨포는 낙천적이고 자유분방한 성격으로 유명합니다.
페이트 시리즈,hard,Fate/EXTRA의 무대는 달 내부에 존재하는 영자 컴퓨터 문 셀 오토마톤이다.,O,지구가 아닌 달의 가상 세계 시리얼 판타즘(SE.RA.PH)에서 성배전쟁이 벌어집니다.
페이트 시리즈,normal,네로 클라우디우스(세이버)는 Fate/EXTRA의 메인 서번트 중 한 명이다.,O,붉은 드레스의 세이버로 예술과 미학을 중시하는 독특한 캐릭터입니다.
페이트 시리즈,hard,무명(No Name) 아처는 5차 성배전쟁의 에미야와 동일 인물이지만 다른 측면의 존재이다.,O,문 셀의 성배전쟁에 적응하여 이름이 아닌 무명으로서 계약한 수호자입니다.
페이트 시리즈,normal,Fate/Apocrypha의 주인공 중 한 명인 지크는 호문쿨루스이다.,O,투쟁을 위해 태어난 호문쿨루스였으나 영웅 지크프리트의 심장을 얻어 활약합니다.
페이트 시리즈,hard,흑의 캐스터 아비케브론의 보구 아담은 낙원을 재현하기 위한 거대 골렘이다.,O,원초의 인간을 모방한 자율 증식형 거대 골렘으로 세계를 낙원으로 바꾸려 합니다.
페이트 시리즈,normal,Fate/EXTRA Last Encore는 샤프트를 통해 애니메이션화되었다.,O,게임 설정을 바탕으로 독특한 연출과 전개를 보여준 애니메이션입니다.
페이트 시리즈,hard,지크프리트는 자신의 심장을 내어줌으로써 호문쿨루스인 지크의 생명을 구했다.,O,자신의 죽음을 대가로 지크에게 생명을 나누어준 고결한 영웅의 결단을 다룹니다.
페이트 시리즈,hard,마술 회로는 태어날 때부터 그 숫자가 정해져 있으며 후천적으로 늘릴 수 없다.,O,마술 회로는 선천적인 재능이며 후천적으로는 이를 기동시키거나 가공하는 것만 가능합니다.
페이트 시리즈,hard,시계탑은 런던에 위치한 마술 협회의 중추 기관이다.,O,전 세계 마술사들이 모여 연구하고 권력을 다투는 마술의 중심지입니다.
페이트 시리즈,hard,마술사의 기원은 존재의 근본이 되는 방향성을 의미한다.,O,에미야 시로의 검처럼 마술사의 재능과 운명을 결정짓는 근원적인 속성입니다.
페이트 시리즈,hard,근원에 도달하는 것은 모든 마술사가 꿈꾸는 궁극적인 목표이다.,O,우주 만물과 진리의 시작인 근원에 도달하여 마법을 실현하려는 것이 마술사들의 본질입니다.
페이트 시리즈,hard,현대 마술의 5대 원소는 지 수 화 풍 그리고 에테르이다.,O,세계를 구성하는 물리적 요소에 형이상학적인 에테르가 포함되어 마술이 성립합니다.
페이트 시리즈,hard,마법은 마술로도 구현 가능한 초상 현상을 의미한다.,X,마법은 현대의 과학이나 마술로도 결코 도달할 수 없는 기적과 같은 영역을 뜻합니다.
페이트 시리즈,hard,제2마법 평행세계의 운영의 사용자 이름은 젤레치이다.,O,키슈아 젤레치 슈바인오르크는 평행세계를 관측하고 간섭할 수 있는 마도원수입니다.
페이트 시리즈,hard,마술 각인은 가문 대대로 전해지는 마술 지식과 마력을 담은 고정화된 신비이다.,O,계승자가 바뀔 때마다 신체에 이식되어 마술적 성과를 보존하고 전달합니다.
페이트 시리즈,hard,투영 마술은 원래 마술사들 사이에서 효율이 나쁜 마술로 취급받는다.,O,실체가 없는 가짜를 만드는 마술이기에 마력 소모가 크고 지속 시간이 짧기 때문입니다.
페이트 시리즈,hard,로드 엘멜로이 2세의 본명은 웨이버 벨벳이며 시계탑의 12로드 중 한 명이다.,O,그는 뛰어난 해박함과 지도력으로 엘멜로이 학파를 재건하여 로드의 지위를 얻었습니다.
페이트 시리즈,hard,타입 문(Type-Moon)은 달의 얼티밋 원(Ultimate One)을 의미한다.,O,각 행성에는 그 행성 최강의 생명체인 얼티밋 원이 존재하며 달의 경우가 타입 문입니다.
페이트 시리즈,hard,사도(Dead Apostle)는 흡혈귀의 일종으로 원래는 인간이었으나 마술이나 저주로 변한 존재이다.,O,진조와 달리 인간에서 변화한 흡혈종이며 사도 27조라는 강력한 집단이 존재합니다.
페이트 시리즈,hard,얼티밋 원 시리즈 중 지구의 얼티밋 원은 아키타입 어스라고 불린다.,O,지구의 의지가 구현된 최강의 존재로 알퀘이드 브뤼스타드와 깊은 관련이 있습니다.
페이트 시리즈,hard,억지력에는 인류의 존속을 바라는 아라야와 별의 생존을 바라는 가이아가 있다.,O,인류와 지구 각각의 무의식적인 생존 본능이 세계의 멸망을 막기 위해 간섭하는 힘입니다.
페이트 시리즈,hard,5대 마법 중 청(靑)의 마법은 시간 여행과 관련된 제5마법이다.,O,아오자키 아오코가 사용하는 이 마법은 시간을 조작하거나 소비하는 고차원적인 기적입니다.
페이트 시리즈,hard,진조(True Ancestor)는 별에 의해 직접 만들어진 자연 발생적인 흡혈종이다.,O,사도와 달리 태생부터 흡혈종이며 별의 촉각으로서의 성질을 가집니다.
페이트 시리즈,hard,성배는 원래 예수 그리스도가 최후의 만찬에서 사용한 잔을 의미하는 것이 기원이다.,O,페이트 시리즈의 성배전쟁은 이 전설적인 성유물을 모방하거나 획득하려는 목적으로 시작되었습니다.
페이트 시리즈,hard,영령의 좌(Throne of Heroes)는 시간과 공간을 초월하여 영웅들의 영혼이 기록되는 장소이다.,O,영령은 과거 현재 미래를 불문하고 업적을 남긴 존재들이 기록되어 소환을 기다립니다.
페이트 시리즈,hard,Fate/strange Fake의 무대는 미국의 가상 도시 스노우필드이다.,O,후유키 시의 성배전쟁을 모방하여 미국에서 벌어지는 기만적인 성배전쟁을 다룹니다.
페이트 시리즈,hard,오르트(ORT)는 수성에서 온 얼티밋 원으로 알려져 있으나 실제로는 오르트 구름에서 왔다.,O,지구에 잘못 도달한 외계 생명체로 압도적인 파괴력을 지닌 세계관 최강급 존재입니다.
페이트 시리즈,normal,페이트(Fate) 시리즈는 원래 동인 서클 TYPE-MOON에서 시작되었다.,O,게임 월희(Tsukihime) 대성공 이후 기업화하여 페이트 스테이 나이트를 발매했습니다.
페이트 시리즈,normal,카니발 판타즘은 페이트 시리즈와 월희 캐릭터가 함께 등장하는 개그 애니메이션이다.,O,타입 문 10주년을 기념하여 제작된 올스타 코미디 작품입니다.
페이트 시리즈,hard,세이버(알토리아)는 원래 남자로 기획되었던 캐릭터이다.,O,나스 키노코의 초기 구상인 Fate/Prototype에서는 남성 세이버와 여성 마스터였습니다.
페이트 시리즈,normal,에미야 가의 밥상은 요리를 주제로 한 힐링물이다.,O,성배전쟁이 없는 평화로운 일상 속에서 요리를 함께 나누는 따뜻한 이야기입니다.
페이트 시리즈,hard,세이버 라이온은 세이버가 사자 인형 옷을 입은 모습의 마스코트 캐릭터이다.,O,고기를 아주 좋아하는 야성적인 사자 모습의 귀여운 세이버 버전입니다.
페이트 시리즈,normal,페이트 시리즈의 캐릭터 디자인 중 상당수는 일러스트레이터 타케우치 타카시가 맡았다.,O,타입 문의 공동 설립자이자 메인 캐릭터 디자이너로서 독창적인 화풍을 정립했습니다.
페이트 시리즈,hard,Fate/Unlimited Codes는 페이트 스테이 나이트를 기반으로 제작된 대전 격투 게임이다.,O,캡콤에서 제작한 아케이드용 3D 격투 게임으로 서번트들의 박진감 넘치는 전투를 구현했습니다.
페이트 시리즈,normal,성배는 사용자의 소원을 들어줄 때 사용자가 알고 있는 방식 대로만 실현하는 경향이 있다.,O,성배는 소원을 이룰 에너지를 줄 뿐 구체적인 방법론은 소유자의 지식에 의존합니다.
페이트 시리즈,hard,아틀라스 원은 이집트의 거대 도서관이자 마술 협회의 세 기둥 중 하나이다.,O,연금술사들이 모여 미래의 멸망을 연산하고 방어하려는 연구 기관입니다.
페이트 시리즈,normal,페이트 시리즈의 마스터는 서번트에게 절대적인 명령을 내릴 수 있는 령주 3개를 가진다.,O,령주는 마스터를 상징하는 성흔이자 서번트의 마력을 증폭하거나 강제하는 도구입니다.
